NAME,club_name,league_name,x,value_eur,RATIING,potential,wage_eur,age,dob,height_cm,weight_kg,club_position
Y. Ngbakoto,Panathinaikos FC,Greek Super League,,1800000,71,71,650,29,1992-01-23,173,69,SUB
P. Farkas,FC Luzern,Swiss Super League,,1700000,71,71,10000,28,1992-09-09,179,78,RB
T. Børven,Gazişehir Gaziantep F.K.,Turkish Süper Lig,,1900000,71,71,11000,29,1991-12-03,185,72,SUB
Escassi,Málaga CF,Spanish Segunda División,,1200000,71,71,6000,32,1989-02-28,185,79,SUB
A. Forshaw,Leeds United,English Premier League,,1800000,71,71,44000,29,1991-10-08,174,71,SUB
K. Long,Burnley,English Premier League,,1500000,71,71,20000,30,1990-08-18,190,82,SUB
M. Ritzmaier,SV Sandhausen,German 2. Bundesliga,,1900000,71,71,6000,28,1993-04-22,180,74,CAM
M. Leckie,Melbourne City FC,Australian Hyundai A-League,,1800000,71,71,10000,30,1991-02-04,181,82,RW
R. Petrović,Real Zaragoza,Spanish Segunda División,,1200000,71,71,7000,32,1989-03-08,193,88,SUB
C. Doukouré,CD Leganés,Spanish Segunda División,,1600000,71,71,8000,28,1992-09-11,180,82,RDM
S. Motta,La Equidad,Colombian Liga Postobón,,600000,71,71,1000,37,1984-03-28,172,69,LCM
B. Maubleu,Grenoble Foot 38,French Ligue 2,,1000000,71,71,4000,31,1989-12-01,192,83,GK
S. Gürler,İttifak Holding Konyaspor,Turkish Süper Lig,,1800000,71,71,12000,29,1991-09-14,175,65,SUB
A. Corzo,Club Universitario de Deportes,Peruvian Primera División,,1300000,71,71,800,32,1989-05-20,173,75,RWB
Ignasi Miquel,SD Huesca,Spanish Segunda División,,1800000,71,72,16000,28,1992-09-28,189,82,LCB
G. Efrem,APOEL Nicosia FC,Cypriot First Division,,1600000,71,71,850,31,1989-07-05,171,66,RM
Arribas,Real Oviedo,Spanish Segunda División,,1200000,71,71,7000,32,1989-05-01,182,76,SUB
A. Ragusa,Hellas Verona,Italian Serie A,,1600000,71,71,18000,31,1990-03-27,183,77,SUB
B. Schenkeveld,Panathinaikos FC,Greek Super League,,1600000,71,71,600,29,1991-08-28,185,83,LCB
R. Mak,Ferencvárosi TC,Hungarian Nemzeti Bajnokság I,,1800000,71,71,800,30,1991-03-08,179,78,SUB
F. Jara,FC Dallas,USA Major League Soccer,,1500000,71,71,6000,32,1988-07-15,180,77,SUB
M. Waris,RC Strasbourg Alsace,French Ligue 1,,1900000,71,71,17000,29,1991-09-19,172,73,SUB
S. Tecl,SK Slavia Praha,Czech Republic Gambrinus Liga,,1800000,71,71,750,30,1990-09-01,181,82,RES
Guitián,Club Bolívar,Liga de Fútbol Profesional Boliviano,,1500000,71,71,800,30,1990-07-29,181,69,RCB
D. Drexler,FC Schalke 04,German 2. Bundesliga,,1600000,71,71,9000,31,1990-05-26,182,71,LCM
S. Romagnoli,Empoli,Italian Serie A,,1300000,71,71,25000,31,1990-02-09,193,85,SUB
Luna,FC Cartagena,Spanish Segunda División,,1600000,71,71,5000,30,1991-03-17,178,68,LB
B. Dabo,Çaykur Rizespor,Turkish Süper Lig,,1800000,71,71,10000,29,1992-02-18,186,81,CAM
D. Appiah,FC Nantes,French Ligue 1,,1600000,71,71,15000,29,1992-06-09,179,68,SUB
Hong Chul,Ulsan Hyundai FC,Korean K League 1,,1600000,71,71,7000,30,1990-09-17,177,71,LB
T. Kempe,SV Darmstadt 98,German 2. Bundesliga,,1500000,71,71,10000,32,1989-06-27,184,77,SUB
T. Xhaka,FC Basel 1893,Swiss Super League,,1600000,71,71,9000,30,1991-03-28,172,72,SUB
B. Martins Indi,AZ Alkmaar,Holland Eredivisie,,1600000,71,71,7000,29,1992-02-08,185,76,LCB
J. Sánchez,Club Deportivo Guadalajara,Mexican Liga MX,,1400000,71,71,25000,31,1989-08-31,168,67,RB
C. Deac,CFR Cluj,Romanian Liga I,,775000,71,71,8000,35,1986-02-16,177,74,LCM
L. González Pirez,Inter Miami CF,USA Major League Soccer,,1600000,71,71,6000,29,1992-02-26,185,80,LCB
L. Caldirola,AC Monza,Italian Serie B,,1500000,71,71,3000,30,1991-02-01,186,78,SUB
J. Van Damme,KV Mechelen,Belgian Jupiler Pro League,,1600000,71,71,10000,29,1991-07-23,195,94,SUB
M. Hector,Fulham,English League Championship,,1800000,71,72,31000,28,1992-07-19,193,82,RES
G. Shinnie,Derby County,English League Championship,,1600000,71,71,10000,29,1991-08-04,175,72,LDM
T. Koubek,FC Augsburg,German 1. Bundesliga,,1500000,71,72,12000,28,1992-08-26,197,95,SUB
K. D'Haene,KV Kortrijk,Belgian Jupiler Pro League,,1400000,71,71,9000,31,1990-06-06,168,63,LB
Hong Jeong Ho,Jeonbuk Hyundai Motors,Korean K League 1,,1300000,71,71,7000,31,1989-08-12,186,77,LCB
G. Burdisso,Club Atlético Lanús,Argentina Primera División,,1200000,71,71,10000,32,1988-09-26,189,82,RCB
Zhang Linpeng,Guangzhou FC,Chinese Super League,,1300000,71,71,14000,32,1989-05-09,185,80,CB
N. Marsman,Inter Miami CF,USA Major League Soccer,,1200000,71,71,4000,30,1990-10-01,188,88,GK
A. Davies,Stoke City,English League Championship,,1600000,71,73,14000,28,1992-07-17,185,80,SUB
L. Moore,Reading,English League Championship,,1600000,71,71,18000,28,1993-01-31,185,86,LCB
C. Christie,Fulham,English League Championship,,1700000,71,71,31000,28,1992-09-30,188,78,RES
J. Clarke-Harris,Peterborough United,English League Championship,,2200000,71,72,11000,26,1994-07-21,183,78,RS
Marafona,Aytemiz Alanyaspor,Turkish Süper Lig,,325000,71,71,7000,34,1987-05-08,190,86,SUB
C. Nelson,Cardiff City,English League Championship,,1900000,71,73,21000,28,1993-05-21,183,74,LCB
M. Leitner,FC Zürich,Swiss Super League,,1900000,71,71,13000,28,1992-12-08,178,67,LCM
F. Ogier,Clermont Foot 63,French Ligue 1,,1200000,71,71,11000,32,1989-03-21,183,73,LCB
L. Carole,Yukatel Kayserispor,Turkish Süper Lig,,1600000,71,71,9000,30,1991-04-12,182,78,LB
R. Morrison,Derby County,English League Championship,,1900000,71,71,11000,28,1993-02-02,175,71,CAM
T. Barkhuizen,Preston North End,English League Championship,,2000000,71,71,22000,27,1993-07-04,179,70,SUB
B. Kadrii,Odense Boldklub,Danish Superliga,,1900000,71,71,11000,29,1991-07-09,177,71,ST
F. Santander,Bologna,Italian Serie A,,1800000,71,71,21000,30,1991-06-04,187,84,SUB
Juankar,Panathinaikos FC,Greek Super League,,1400000,71,71,550,31,1990-03-30,178,68,LB
O. Omoijuanfo,Molde FK,Norwegian Eliteserien,,2200000,71,72,6000,27,1994-01-10,188,75,ST
M. Dæhli,1. FC Nürnberg,German 2. Bundesliga,,2300000,71,73,9000,26,1995-03-02,172,70,CAM
O. Hernández,Middlesbrough,English League Championship,,1900000,71,71,23000,28,1993-02-01,172,76,LM
N. Benezet,Seattle Sounders FC,USA Major League Soccer,,1800000,71,71,6000,30,1991-02-24,170,65,SUB
J. Geis,1. FC Nürnberg,German 2. Bundesliga,,1800000,71,71,8000,27,1993-08-17,181,81,CDM
O. John,Al Hazem,Saudi Abdul L. Jameel League,,1800000,71,71,15000,29,1992-05-19,179,72,LW
Lee Seung Gi,Jeonbuk Hyundai Motors,Korean K League 1,,1200000,71,71,8000,33,1988-06-02,177,67,LCM
A. Flint,Cardiff City,English League Championship,,1300000,71,71,20000,31,1989-07-11,197,83,CB
David Juncà,Girona FC,Spanish Segunda División,,2000000,71,72,8000,27,1993-11-16,175,67,LB
Jesé,Unión Deportiva Las Palmas,Spanish Segunda División,,1900000,71,71,8000,28,1993-02-26,178,80,ST
J. Risdon,Western United FC,Australian Hyundai A-League,,1700000,71,71,2000,28,1992-07-27,167,70,RB
Abdón Prats,RCD Mallorca,Spain Primera Division,,1900000,71,71,18000,28,1992-12-17,181,81,RES
N. Byrne,Derby County,English League Championship,,1600000,71,71,10000,29,1992-06-05,172,70,RB
A. Öztürk,Galatasaray SK,Turkish Süper Lig,,1900000,71,72,29000,27,1993-07-16,186,89,SUB
N. Kebano,Fulham,English League Championship,,1800000,71,71,34000,29,1992-03-10,170,65,SUB
T. Monconduit,FC Lorient,French Ligue 1,,1600000,71,71,11000,30,1991-02-10,184,83,SUB
M. Franke,Hannover 96,German 2. Bundesliga,,1600000,71,71,17000,28,1993-04-05,193,90,RCB
S. Ameobi,Middlesbrough,English League Championship,,1800000,71,71,19000,29,1992-05-01,190,78,SUB
P. Wszołek,1. FC Union Berlin,German 1. Bundesliga,,1800000,71,71,19000,29,1992-04-30,183,78,SUB
F. Hübner,1. FC Nürnberg,German 2. Bundesliga,,1500000,71,71,8000,30,1991-03-01,193,84,LCB
O. Vranješ,AEK Athens,Greek Super League,,1300000,71,71,800,31,1989-10-24,182,76,RCB
V. Misidjan,FC Twente,Holland Eredivisie,,2000000,71,71,8000,27,1993-07-24,173,70,LM
A. Benali,Crotone,Italian Serie B,,1800000,71,71,9000,29,1992-02-07,173,66,CDM
T. Smith,Stoke City,English League Championship,,1600000,71,71,18000,29,1992-04-14,186,84,RWB
K. Djidji,Torino F.C.,Italian Serie A,,1800000,71,72,24000,28,1992-11-30,184,71,SUB
A. Knockaert,Fulham,English League Championship,,1800000,71,71,34000,29,1991-11-20,172,69,SUB
V. Fischer,Royal Antwerp FC,Belgian Jupiler Pro League,,2000000,71,71,14000,27,1994-06-09,181,73,LW
A. Reach,West Bromwich Albion,English League Championship,,1700000,71,71,25000,28,1993-02-03,185,73,SUB
M. Bettinelli,Chelsea,English Premier League,,1600000,71,73,40000,29,1992-05-24,194,82,RES
D. Arslanagic,Göztepe SK,Turkish Süper Lig,,1800000,71,72,10000,28,1993-04-24,191,87,RCB
J. Locadia,Brighton & Hove Albion,English Premier League,,2200000,71,72,35000,27,1993-11-07,185,87,RES
E. Başsan,Yukatel Kayserispor,Turkish Süper Lig,,1800000,71,71,10000,29,1992-04-17,177,66,RM
G. Saville,Millwall,English League Championship,,1900000,71,71,11000,28,1993-06-01,182,73,LCM
J. Ralls,Cardiff City,English League Championship,,2100000,71,72,22000,27,1993-10-12,178,70,LCM
D. Roef,KAA Gent,Belgian Jupiler Pro League,,1700000,71,73,11000,27,1994-02-06,187,87,SUB
M. Seuntjens,Fortuna Sittard,Holland Eredivisie,,1800000,71,71,9000,29,1992-04-17,187,81,ST
Joãozinho,Estoril Praia,Portuguese Liga ZON SAGRES,,1400000,71,71,5000,31,1989-07-02,185,72,LB
Salvador Agra,CD Tondela,Portuguese Liga ZON SAGRES,,1800000,71,71,6000,29,1991-11-11,166,62,LW
T. Leistner,Sint-Truidense VV,Belgian Jupiler Pro League,,1500000,71,71,9000,30,1990-08-19,190,87,RES
D. Ndongala,APOEL Nicosia FC,Cypriot First Division,,1800000,71,71,950,30,1991-06-14,170,59,SUB
Choi Young Joon,Jeonbuk Hyundai Motors,Korean K League 1,,1600000,71,71,8000,29,1991-12-15,181,76,CDM
H. Soudani,Damac FC,Saudi Abdul L. Jameel League,,1200000,71,71,14000,33,1987-11-25,182,75,RM
R. Schoofs,KV Mechelen,Belgian Jupiler Pro League,,2100000,71,72,10000,27,1994-03-23,178,69,LDM
M. Pigliacelli,Universitatea Craiova,Romanian Liga I,,1300000,71,71,8000,28,1993-06-30,184,83,GK
P. Terracciano,Fiorentina,Italian Serie A,,1000000,71,71,22000,31,1990-03-08,193,78,SUB
C. Woodrow,Barnsley,English League Championship,,2400000,71,73,29000,26,1994-12-02,184,74,ST
D. Đoković,Çaykur Rizespor,Turkish Süper Lig,,1300000,71,71,9000,31,1990-04-18,190,86,LDM
H. Toffolo,Huddersfield Town,English League Championship,,2300000,71,74,7000,25,1995-08-19,183,71,LWB
H. Canteros,Patronato,Argentina Primera División,,1500000,71,71,10000,32,1989-03-15,176,80,CAM
S. Sabelli,Genoa,Italian Serie A,,1700000,71,71,11000,28,1993-01-13,176,70,RM
J. Frick,Servette FC,Swiss Super League,,1600000,71,73,10000,28,1993-03-08,192,90,GK
V. Haroyan,Cádiz CF,Spain Primera Division,,1800000,71,72,17000,28,1992-08-24,185,75,RCB
M. Ishak,Lech Poznań,Polish T-Mobile Ekstraklasa,,1900000,71,71,8000,28,1993-03-31,185,81,ST
Insua,SD Huesca,Spanish Segunda División,,2000000,71,73,8000,27,1993-09-09,187,80,SUB
J. Damm,Atlanta United,USA Major League Soccer,,1900000,71,71,6000,28,1992-11-07,185,70,SUB
G. Sakai,Vissel Kobe,Japanese J. League Division 1,,1600000,71,71,6000,30,1991-03-14,176,74,RB
L. James,Demir Grup Sivasspor,Turkish Süper Lig,,1900000,71,71,13000,28,1992-11-01,188,80,ST
M. Barrow,Jeonbuk Hyundai Motors,Korean K League 1,,1900000,71,71,8000,28,1992-10-13,177,60,SUB
M. Bolaños,Chongqing Liangjiang Athletic,Chinese Super League,,1600000,71,71,11000,31,1990-06-01,172,63,LS
M. van der Hoorn,FC Utrecht,Holland Eredivisie,,1600000,71,71,15000,28,1992-10-15,190,83,RCB
Paulinho,Shanghai Port FC,Chinese Super League,,2200000,71,72,15000,26,1994-07-10,168,58,SUB
Pedro Henrique,Demir Grup Sivasspor,Turkish Süper Lig,,1600000,71,71,12000,31,1990-06-16,181,76,SUB
I. Santini,Al Fateh,Saudi Abdul L. Jameel League,,1500000,71,71,20000,32,1989-05-21,190,90,SUB
D. Bain,Stade Brestois 29,French Ligue 1,,2000000,71,73,11000,27,1993-07-02,181,74,SUB
F. Holland,SV Darmstadt 98,German 2. Bundesliga,,1600000,71,71,10000,30,1990-07-11,172,74,LB
J. Van Rankin,Portland Timbers,USA Major League Soccer,,1700000,71,71,26000,28,1993-05-14,178,73,RB
Dani Barrio,Málaga CF,Spanish Segunda División,,325000,71,71,5000,34,1987-02-10,190,78,GK
P. Ankersen,F.C. København,Danish Superliga,,1600000,71,71,12000,30,1990-09-22,179,75,SUB
D. Blum,VfL Bochum 1848,German 1. Bundesliga,,1800000,71,71,15000,30,1991-01-07,183,83,SUB
W. Vaulks,Cardiff City,English League Championship,,1900000,71,72,20000,27,1993-09-13,180,75,SUB
Q. Bernard,AJ Auxerre,French Ligue 2,,1400000,71,71,5000,31,1989-07-07,184,83,LB
S. Hedlund,Brøndby IF,Danish Superliga,,1900000,71,71,12000,28,1993-03-11,173,66,RS
Antônio Carlos,Orlando City Soccer Club,USA Major League Soccer,,1800000,71,72,6000,28,1993-03-07,191,79,RCB
Eugeni,FC Arouca,Portuguese Liga ZON SAGRES,,2200000,71,72,6000,26,1994-07-19,184,75,CM
Carlinhos,Portimonense SC,Portuguese Liga ZON SAGRES,,2200000,71,72,6000,27,1994-06-22,179,81,LCM
M. Schuhen,SV Darmstadt 98,German 2. Bundesliga,,1700000,71,74,8000,28,1993-01-13,188,85,SUB
P. González,Deportivo Toluca,Mexican Liga MX,,1900000,71,71,15000,28,1992-07-07,172,70,RES
H. Kiyotake,Cerezo Osaka,Japanese J. League Division 1,,1600000,71,71,6000,31,1989-11-12,172,66,RES
Jozabed,Málaga CF,Spanish Segunda División,,1800000,71,71,7000,30,1991-03-08,180,70,RCM
I. Kutepov,Spartak Moskva,Russian Premier League,,1900000,71,72,28000,27,1993-07-29,192,84,SUB
E. Marcondes,AFC Bournemouth,English League Championship,,2200000,71,72,22000,26,1995-03-09,182,75,SUB
A. Ateef,Al Hilal,Saudi Abdul L. Jameel League,,1600000,71,71,22000,28,1992-08-03,176,68,SUB
P. De Blasis,FC Cartagena,Spanish Segunda División,,1200000,71,71,6000,33,1988-02-04,166,65,SUB
Paulinho,Moreirense FC,Portuguese Liga ZON SAGRES,,1600000,71,71,9000,29,1991-07-13,176,70,SUB
O. Kayode,Demir Grup Sivasspor,Turkish Süper Lig,,1900000,71,71,750,28,1993-05-08,176,65,RM
M. Boyle,Hibernian,Scottish Premiership,,1900000,71,71,7000,28,1993-04-25,172,70,RM
L. Magallán,RSC Anderlecht,Belgian Jupiler Pro League,,1900000,71,72,9000,27,1993-09-27,185,83,RES
E. Hestad,Molde FK,Norwegian Eliteserien,,2200000,71,72,5000,26,1995-06-26,183,75,RM
J. Gómez,Argentinos Juniors,Argentina Primera División,,1600000,71,71,9000,31,1989-12-21,171,68,LCM
T. Lawrence,Derby County,English League Championship,,2000000,71,71,10000,27,1994-01-13,180,75,LM
A. Callens,New York City FC,USA Major League Soccer,,1700000,71,72,6000,29,1992-05-04,186,76,LCB
F. Barba,Benevento,Italian Serie B,,1900000,71,72,11000,27,1993-09-01,186,80,LB
Tiago Rodrigues,Al Hazem,Saudi Abdul L. Jameel League,,1800000,71,71,15000,29,1992-01-29,177,72,CM
Cassiano,FC Vizela,Portuguese Liga ZON SAGRES,,1500000,71,71,5000,32,1989-06-16,184,75,ST
Alex Muñoz,CD Tenerife,Spanish Segunda División,,2000000,71,72,6000,26,1994-07-30,187,80,SUB
B. Kololli,Shimizu S-Pulse,Japanese J. League Division 1,,1800000,71,71,4000,29,1992-05-15,184,82,RES
J. Gondorf,Karlsruher SC,German 2. Bundesliga,,1200000,71,71,10000,33,1988-06-26,176,74,CDM
G. Güvenç,Gazişehir Gaziantep F.K.,Turkish Süper Lig,,1400000,71,72,8000,29,1991-07-25,187,85,GK
S. Tronstad,Vitesse,Holland Eredivisie,,2500000,71,74,11000,25,1995-08-26,174,70,LCM
A. Vindheim,AC Sparta Praha,Czech Republic Gambrinus Liga,,2200000,71,73,650,25,1995-08-04,184,78,SUB
P. Frankowski,Racing Club de Lens,French Ligue 1,,2200000,71,72,18000,26,1995-04-12,175,70,SUB
J. Green,SpVgg Greuther Fürth,German 1. Bundesliga,,2200000,71,72,15000,26,1995-06-06,173,70,LCM
D. Heuer Fernandes,Hamburger SV,German 2. Bundesliga,,1300000,71,71,8000,28,1992-11-13,188,81,GK
K. Karaman,Beşiktaş JK,Turkish Süper Lig,,2200000,71,72,27000,27,1994-03-05,189,83,SUB
I. Sylla,Toulouse Football Club,French Ligue 2,,1800000,71,71,5000,27,1994-01-01,180,75,LB
Tiago Silva,Vitória de Guimarães,Portuguese Liga ZON SAGRES,,1900000,71,71,8000,28,1993-06-02,170,62,SUB
J. Mombris,En Avant de Guingamp,French Ligue 2,,975000,71,71,6000,33,1987-11-27,187,68,LB
D. Selke,Hertha BSC,German 1. Bundesliga,,2400000,71,73,28000,26,1995-01-20,194,84,ST
L. Depoitre,KAA Gent,Belgian Jupiler Pro League,,1500000,71,71,16000,32,1988-12-07,191,91,RES
J. Cabot,Angers SCO,French Ligue 1,,2000000,71,71,15000,27,1994-04-18,164,64,RM
S. Piette,Club de Foot Montréal,USA Major League Soccer,,2000000,71,72,5000,26,1994-11-12,171,79,RCM
Lucas Souza,APOEL Nicosia FC,Cypriot First Division,,1300000,71,71,800,31,1990-06-04,186,80,CDM
K. Acosta,Colorado Rapids,USA Major League Soccer,,2500000,71,76,5000,25,1995-07-24,178,68,SUB
R. Walter,Sporting Kansas City,USA Major League Soccer,,2400000,71,74,6000,26,1995-04-26,174,73,CDM
Ismael,Al Faisaly,Saudi Abdul L. Jameel League,,2300000,71,73,11000,26,1994-12-01,165,65,CM
C. Akpom,PAOK,Greek Super League,,2600000,71,75,950,25,1995-10-09,186,81,SUB
J. Une-Larsson,Djurgårdens IF,Swedish Allsvenskan,,2100000,71,74,6000,27,1994-04-08,181,74,RCB
S. Gustafson,FC Utrecht,Holland Eredivisie,,2300000,71,73,11000,26,1995-01-11,185,80,CAM
I. Fossum,Aalborg BK,Danish Superliga,,2700000,71,75,9000,24,1996-07-15,180,73,CAM
Aketxe,SD Eibar,Spanish Segunda División,,2000000,71,71,8000,27,1993-12-30,174,69,RM
F. Forte,Venezia FC,Italian Serie A,,1900000,71,71,15000,28,1993-05-01,187,75,SUB
G. Mera,Junior FC,Colombian Liga Postobón,,1300000,71,71,2000,31,1990-03-05,187,87,SUB
Y. Gordillo,San Lorenzo de Almagro,Argentina Primera División,,1600000,71,71,9000,29,1992-06-25,178,73,LDM
R. Pérez,Club Atlético Talleres,Argentina Primera División,,1300000,71,71,9000,31,1990-01-09,186,76,LCB
A. Silva,Puebla FC,Mexican Liga MX,,210000,71,71,3000,37,1984-02-27,190,92,GK
A. Rodríguez,Deportivo Cali,Colombian Liga Postobón,,1500000,71,71,2000,32,1989-04-04,181,80,ST
D. Banguero,Atlético Nacional,Colombian Liga Postobón,,1400000,71,71,2000,31,1989-10-27,185,79,LB
W. Morelo,Club Atlético Colón,Argentina Primera División,,900000,71,71,10000,34,1987-05-21,172,70,SUB
L. Castro,Kaizer Chiefs,South African Premier Division,,1500000,71,71,750,32,1989-05-12,183,80,LS
N. Freire,Club Universidad Nacional,Mexican Liga MX,,1900000,71,72,9000,27,1994-02-18,186,80,RCB
N. Pasquini,Estudiantes de La Plata,Argentina Primera División,,1600000,71,71,10000,30,1991-01-02,172,76,LB
B. Bianchi,Club Atlético Colón,Argentina Primera División,,1200000,71,71,9000,32,1989-02-17,183,76,SUB
G. Ortíz,Godoy Cruz,Argentina Primera División,,1800000,71,72,7000,28,1992-08-09,183,76,SUB
L. Desábato,Rosario Central,Argentina Primera División,,1300000,71,71,10000,31,1990-03-30,178,78,SUB
C. Rius,Atlético Tucumán,Argentina Primera División,,1500000,71,71,8000,32,1988-10-27,175,71,RM
G. Peruzzi,San Lorenzo de Almagro,Argentina Primera División,,1600000,71,71,9000,29,1992-06-09,178,71,RB
M. Ingvartsen,1. FSV Mainz 05,German 1. Bundesliga,,2400000,71,73,19000,25,1996-01-04,187,84,SUB
F. Márquez,Unión de Santa Fe,Argentina Primera División,,1200000,71,71,10000,33,1987-12-10,184,86,SUB
G. Carrillo,Elche CF,Spain Primera Division,,1800000,71,71,14000,30,1991-05-25,191,87,SUB
E. Fernandes,DSC Arminia Bielefeld,German 1. Bundesliga,,2600000,71,75,15000,25,1996-04-15,187,77,SUB
G. Honeyman,Hull City,English League Championship,,2200000,71,72,10000,26,1994-09-08,173,72,CAM
R. Framberger,FC Augsburg,German 1. Bundesliga,,2300000,71,74,14000,25,1995-09-06,179,76,SUB
E. García,Club Atlético de San Luis,Mexican Liga MX,,1400000,71,71,10000,31,1989-12-28,176,73,LB
Wallace,Yeni Malatyaspor,Turkish Süper Lig,,2000000,71,73,9000,26,1994-10-14,191,85,CB
H. Sakhi,AJ Auxerre,French Ligue 2,,2700000,71,76,5000,25,1996-06-07,176,72,RCM
T. Fosu,Brentford,English Premier League,,2400000,71,73,29000,25,1995-11-05,172,67,SUB
J. Güemez,Club Atlético de San Luis,Mexican Liga MX,,1600000,71,71,13000,29,1991-10-17,176,80,LCM
P. Velázquez,12 de Octubre FC,Paraguayan Primera División,,900000,71,71,650,34,1987-03-12,191,86,LS
P. Carlgren,Randers FC,Danish Superliga,,1300000,71,71,8000,29,1992-01-08,188,84,GK
D. Bejarano,Club Bolívar,Liga de Fútbol Profesional Boliviano,,1600000,71,71,800,29,1991-08-24,174,70,RB
V. Černý,FC Twente,Holland Eredivisie,,2700000,71,75,7000,23,1997-10-17,182,65,RES
M. Thiam,Yukatel Kayserispor,Turkish Süper Lig,,1900000,71,71,11000,28,1992-10-09,185,79,LM
A. Godoy,Nashville SC,USA Major League Soccer,,1300000,71,71,5000,31,1990-02-10,183,82,SUB
J. De Sart,KAA Gent,Belgian Jupiler Pro League,,2300000,71,73,14000,26,1994-12-23,187,73,LCM
Jubal,AJ Auxerre,French Ligue 2,,2000000,71,73,5000,27,1993-08-29,190,80,RCB
Henrique,Olympique Lyonnais,French Ligue 1,,2000000,71,72,30000,27,1994-04-25,173,72,SUB
O. Ntcham,Swansea City,English League Championship,,2700000,71,76,18000,25,1996-02-09,180,80,SUB
R. Carrera,Atlético Tucumán,Argentina Primera División,,2000000,71,71,8000,27,1993-10-24,182,70,LM
Dani Calvo,Real Oviedo,Spanish Segunda División,,2100000,71,74,7000,27,1994-04-01,190,82,LCB
Pedro Tiba,Lech Poznań,Polish T-Mobile Ekstraklasa,,1500000,71,71,7000,32,1988-08-31,174,69,LDM
J. Fernández,Newell's Old Boys,Argentina Primera División,,2500000,71,76,9000,26,1995-03-22,180,78,SUB
J. Murillo,Los Angeles FC,USA Major League Soccer,,2100000,71,74,5000,27,1994-02-18,183,80,RCB
Rober Ibáñez,CA Osasuna,Spain Primera Division,,1900000,71,71,17000,28,1993-03-22,179,72,SUB
Saúl,Deportivo Alavés,Spain Primera Division,,2300000,71,74,14000,26,1994-11-09,183,71,SUB
E. Horvath,Nottingham Forest,English League Championship,,2000000,71,75,22000,26,1995-06-09,195,83,SUB
Chema Rodríguez,Getafe CF,Spain Primera Division,,1700000,71,72,16000,29,1992-03-03,189,80,SUB
L. Manyama,Kaizer Chiefs,South African Premier Division,,1800000,71,71,650,30,1990-09-13,181,75,RM
S. Khaoui,Clermont Foot 63,French Ligue 1,,2400000,71,74,12000,26,1995-04-27,180,68,SUB
O. McBurnie,Sheffield United,English League Championship,,2600000,71,75,19000,25,1996-06-04,191,77,SUB
D. Phillips,Cardiff City,English League Championship,,1900000,71,74,16000,26,1995-06-11,188,89,GK
N. Gyömbér,US Salernitana 1919,Italian Serie A,,1600000,71,71,24000,28,1992-07-03,189,74,RCB
Fabrício Baiano,Çaykur Rizespor,Turkish Süper Lig,,1600000,71,71,10000,29,1992-06-13,177,72,RB
J. Cristaldo,Newell's Old Boys,Argentina Primera División,,1500000,71,71,13000,32,1989-03-05,174,73,LW
B. Celina,Ipswich Town,English League One,,2600000,71,74,4000,24,1996-09-09,181,66,SUB
K. Lawrence,Toronto FC,USA Major League Soccer,,1700000,71,71,6000,28,1992-09-17,178,73,LB
B. Zungu,Amiens SC,French Ligue 2,,1800000,71,72,5000,28,1992-10-09,184,76,RES
F. Mattiello,Atalanta,Italian Serie A,,2200000,71,72,25000,25,1995-07-14,184,70,SUB
A. Barreca,Lecce,Italian Serie B,,2100000,71,73,3000,26,1995-03-18,183,70,SUB
L. Venuti,Fiorentina,Italian Serie A,,2300000,71,74,27000,26,1995-04-12,176,66,RB
L. Palmiero,Napoli,Italian Serie A,,2700000,71,76,31000,25,1996-05-01,173,69,SUB
S. Luperto,Empoli,Italian Serie A,,2700000,71,77,26000,24,1996-09-06,191,75,LCB
V. Vada,Real Zaragoza,Spanish Segunda División,,2500000,71,74,7000,25,1996-03-06,175,70,SUB
F. Hadergjonaj,Kasimpaşa SK,Turkish Süper Lig,,2000000,71,72,9000,26,1994-07-31,183,73,RB
S. Vecchia,Rosenborg BK,Norwegian Eliteserien,,2000000,71,71,6000,26,1995-01-23,183,80,LW
G. Wüthrich,SK Sturm Graz,Austrian Football Bundesliga,,2300000,71,75,13000,26,1994-12-04,192,88,LCB
G. Silva,FC Cartagena,Spanish Segunda División,,2100000,71,74,5000,27,1994-03-05,185,74,SUB
L. Vásquez,Junior FC,Colombian Liga Postobón,,1600000,71,71,2000,29,1991-09-19,186,80,RDM
E. Torregrossa,U.C. Sampdoria,Italian Serie A,,1900000,71,71,14000,29,1992-06-28,184,87,SUB
D. Machado,Racing Club de Lens,French Ligue 1,,1800000,71,71,16000,27,1993-09-02,173,75,SUB
A. Esiti,PAOK,Greek Super League,,2000000,71,73,850,27,1994-05-24,189,84,SUB
A. Schöpf,DSC Arminia Bielefeld,German 1. Bundesliga,,2100000,71,72,15000,27,1994-02-07,178,74,LCM
D. Kownacki,Fortuna Düsseldorf,German 2. Bundesliga,,2900000,71,76,15000,24,1997-03-14,186,75,SUB
J. Onguéné,FC Red Bull Salzburg,Austrian Football Bundesliga,,3500000,71,78,13000,23,1997-12-22,186,78,SUB
D. Milošević,Antalyaspor,Turkish Süper Lig,,2200000,71,72,12000,26,1995-03-09,182,73,SUB
J. Lolley,Nottingham Forest,English League Championship,,1900000,71,71,31000,28,1992-08-25,178,72,SUB
